Subject,Start Date,End Date,All Day Event,Description,Location
New Year’s Day - University Closed,12/31/2032,12/31/2032,True,,
Classes/Term Begin,08/22/2033,08/22/2033,True,,
Classes/Term Begin,12/19/2033,12/19/2033,True,,
Classes/Term Begin,01/09/2034,01/09/2034,True,,
Classes/Term Begin,05/15/2034,05/15/2034,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/16/2033,09/16/2033,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/03/2034,02/03/2034,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/09/2034,06/09/2034,True,,
Classes End,12/10/2033,12/10/2033,True,,
Classes End,01/06/2034,01/06/2034,True,,
Classes End,04/28/2034,04/28/2034,True,,
Classes End,08/04/2034,08/04/2034,True,,
Final Exams,12/12/2033,12/18/2033,True,,
Final Exams,05/01/2034,05/07/2034,True,,
Term Ends,12/17/2033,12/17/2033,True,,
Term Ends,01/06/2034,01/06/2034,True,,
Term Ends,05/06/2034,05/06/2034,True,,
Term Ends,08/04/2034,08/04/2034,True,,
Commencements,12/18/2033,12/18/2033,True,,
Commencements,05/12/2034,05/15/2034,True,,
Commencements,08/05/2034,08/05/2034,True,,
Fall Break,10/10/2033,10/12/2033,True,,
Spring Break,03/13/2034,03/19/2034,True,,
Thanksgiving Break,11/23/2033,11/27/2033,True,,
Memorial Day - University Closed,05/29/2034,05/29/2034,True,,
Juneteenth - Class in Session,06/19/2034,06/19/2034,True,,
Fourth of July - University Closed,07/05/2034,07/05/2034,True,,
Labor Day - University Closed,09/05/2033,09/05/2033,True,,
MLK Day - University Closed,01/16/2034,01/16/2034,True,,
President’s Designated Holiday,12/30/2033,12/30/2033,True,,
Christmas Holiday - University Closed,12/23/2033,12/25/2033,True,,
New Year’s Day - University Closed,12/31/2033,12/31/2033,True,,
Classes/Term Begin,05/16/2034,05/16/2034,True,,
Classes/Term Begin,08/23/2034,08/23/2034,True,,
Classes/Term Begin,12/18/2034,12/18/2034,True,,
Classes/Term Begin,01/08/2035,01/08/2035,True,,
Classes/Term Begin,05/14/2035,05/14/2035,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/15/2034,09/15/2034,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/02/2035,02/02/2035,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/08/2035,06/08/2035,True,,
Classes End,12/09/2034,12/09/2034,True,,
Classes End,01/05/2035,01/05/2035,True,,
Classes End,04/28/2035,04/28/2035,True,,
Classes End,08/03/2035,08/03/2035,True,,
Final Exams,12/11/2034,12/17/2034,True,,
Term Ends,12/16/2034,12/16/2034,True,,
Term Ends,01/05/2035,01/05/2035,True,,
Term Ends,05/05/2035,05/05/2035,True,,
Term Ends,08/03/2035,08/03/2035,True,,
Commencements,12/17/2034,12/17/2034,True,,
Commencements,05/11/2035,05/14/2035,True,,
Commencements,08/04/2035,08/04/2035,True,,
Fall Break,10/09/2034,10/11/2034,True,,
Spring Break,03/12/2035,03/18/2035,True,,
Thanksgiving Break,11/22/2034,11/26/2034,True,,
Memorial Day - University Closed,05/28/2035,05/28/2035,True,,
